title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
Zelenor Smiley Pocket Weight Machine Digital 50Kg Travel Luggage Weighing Scale(Orange),999.0,999.0,299.0,http://www.flipkart.com/zelenor-smiley-pocket-weight-machine-digital-50kg-travel-luggage-weighing-scale/p/itmfd7zdznkfh9yv?pid=WSLFD5QYW8TBSTNS,Zelenor,true,true,,70,0.0
Zelenor Smiley Pocket Weight Machine Digital 50Kg Travel Luggage Weighing Scale(Black),999.0,999.0,265.0,http://www.flipkart.com/zelenor-smiley-pocket-weight-machine-digital-50kg-travel-luggage-weighing-scale/p/itmfd8gh6hq87asp?pid=WSLFD5QUZ2CU5QGQ,Zelenor,true,true,,71,0.0
Urweigh Portable 50kg-Digital Kitchen Luggage Hanging LED Smiley Weighing Scale(Multicolor),999.0,999.0,259.0,http://www.flipkart.com/urweigh-portable-50kg-digital-kitchen-luggage-hanging-led-smiley-weighing-scale/p/itmfdbz3b5vajzgh?pid=WSLFDB4YE9RTZZNS,Urweigh,true,true,,72,58.0
Zelenor Portable Pocket Digital Kitchen and Jewellery Electronic 0.01 g (10 mg) To 200 Grams For Measuring Jewellery Weighing Scale(Silver),899.0,899.0,325.0,http://www.flipkart.com/zelenor-portable-pocket-digital-kitchen-jewellery-electronic-0-01-g-10-mg-200-grams-measuring-weighing-scale/p/itmfdcv8xaubu3qy?pid=WSLFDCKGGPQWVDEV,Zelenor,true,true,,63,49.0
"Promise Bags Perfect Eco Friendly Naturally processed Multipurpose Reusable Jute Bags(White, Cream) Multipurpose Bag(Multicolor, 5 L)",599.0,599.0,429.0,http://www.flipkart.com/promise-bags-perfect-eco-friendly-naturally-processed-multipurpose-reusable-jute-bags-white-cream-bag/p/itmf55f7ng8fhmhp?pid=BAGF557ZWYMTZYFY,Promise Bags,true,true,,28,60.0
"Costfide 15.6 inch laptop messenger bag Waterproof Multipurpose Bag(Black, 20 L)",1949.0,1949.0,749.0,http://www.flipkart.com/costfide-15-6-inch-laptop-messenger-bag-waterproof-multipurpose/p/itmf5493x9gkwge5?pid=BAGF54YJNGSMCPZF,Costfide,true,true,,61,0.0
"Promise Bags Perfect Eco Friendly Naturally processed Multipurpose Reusable Jute Bags(Full Cream Black Boarder ) Multipurpose Bag(Multicolor, 5 L)",599.0,599.0,349.0,http://www.flipkart.com/promise-bags-perfect-eco-friendly-naturally-processed-multipurpose-reusable-jute-bags-full-cream-black-boarder-bag/p/itmf55fab7mh32g7?pid=BAGF556UUHX4ZMQZ,Promise Bags,true,true,,41,60.0
"Promise Bags Perfect Eco Friendly Naturally processed Multipurpose Reusable Jute Bags(Dark Pink Boarder) Multipurpose Bag(Pink, 10 L)",599.0,599.0,399.0,http://www.flipkart.com/promise-bags-perfect-eco-friendly-naturally-processed-multipurpose-reusable-jute-bags-dark-pink-boarder-bag/p/itmf78gjzwuh6xa8?pid=BAGF78CHTXCYVAMN,Promise Bags,true,true,,33,60.0
"Promise Bags bag Multipurpose Bag(Multicolor, 4 L)",599.0,599.0,429.0,http://www.flipkart.com/promise-bags-bag-multipurpose/p/itmf552yafkd2gcb?pid=BAGF552YUEAUVK8G,Promise Bags,true,true,,28,60.0
"Promise Bags Perfect Eco Friendly Naturally processed Multipurpose Reusable Jute Bags Waterproof Multipurpose Bag(Multicolor, 4 L)",699.0,699.0,429.0,http://www.flipkart.com/promise-bags-perfect-eco-friendly-naturally-processed-multipurpose-reusable-jute-waterproof-bag/p/itmf54pmdhgj2u8h?pid=BAGF54Z9QRGR32WZ,Promise Bags,true,true,,38,62.0
"Promise Bags Perfect Eco Friendly Naturally processed Multipurpose Reusable Jute Bags(Orange Boarder) Multipurpose Bag(Orange, 10 L)",599.0,599.0,399.0,http://www.flipkart.com/promise-bags-perfect-eco-friendly-naturally-processed-multipurpose-reusable-jute-bags-orange-boarder-bag/p/itmf78gj7gh5zpm5?pid=BAGF78CHXKVFQZ7Z,Promise Bags,true,true,,33,60.0
"Sheen Jute bag for bottle combo of 3 Multipurpose Bag(Multicolor, 2 L)",799.0,799.0,386.0,http://www.flipkart.com/sheen-jute-bag-bottle-combo-3-multipurpose/p/itmf3umqakydvuvk?pid=BAGFYUKGCEYGNUXZ,Sheen,true,true,,51,0.0
