title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
Arochem Nawab Saheb Night in london Real rose Romeo Combo Floral Attar(Amber),999.0,999.0,369.0,http://www.flipkart.com/arochem-nawab-saheb-night-london-real-rose-romeo-combo-floral-attar/p/itmejgfztfnhvvgd?pid=ATTEJGFZZX4DE2YZ,Arochem,true,true,,60,50.0
Arochem ETEHNA Herbal Attar(Musk Arabia),492.0,492.0,80.0,http://www.flipkart.com/arochem-etehna-herbal-attar/p/itme9ghphxdnghgw?pid=ATTE9GHPKJSZJ6FZ,Arochem,true,true,,73,65.0
Arochem Night in london Kala Bhoot Combo Floral Attar(Rose),395.0,395.0,304.0,http://www.flipkart.com/arochem-night-london-kala-bhoot-combo-floral-attar/p/itmejh8jzgt77hzg?pid=ATTEJH8JAPBXNKYS,Arochem,true,true,,71,0.0
Al-Rehab Secret Man & Choco Musk pack of 2 Floral Attar(Woody),660.0,660.0,440.0,http://www.flipkart.com/al-rehab-secret-man-choco-musk-pack-2-floral-attar/p/itmf6ugwhguhxjfj?pid=ATTF6UGWKGZS2MTJ,Al-Rehab,true,true,,46,60.0
Arochem Ice blue Mushk Ae Bahar Combo Floral Attar(Sandalwood),699.0,699.0,320.0,http://www.flipkart.com/arochem-ice-blue-mushk-ae-bahar-combo-floral-attar/p/itmendffzjsfzw3w?pid=ATTENDFDHCSXGHFP,Arochem,true,true,,64,50.0
Madni Perfumes Munawwarah Exclusive Series Concentrated Attar / Ittar Herbal Attar(Amber),466.0,466.0,359.0,http://www.flipkart.com/madni-perfumes-munawwarah-exclusive-series-concentrated-attar-ittar-herbal/p/itmf2z69mfetx53v?pid=ATTF2Z28ZPZPDHGF,Madni Perfumes,true,true,,52,60.0
Madni Perfumes Cool Blue Economic Series Concentrated Attar / Ittar Herbal Attar(Islamic Bakhur),325.0,325.0,250.0,http://www.flipkart.com/madni-perfumes-cool-blue-economic-series-concentrated-attar-ittar-herbal/p/itmf2udm5pyhuvku?pid=ATTF2TRBS2BPNFJY,Madni Perfumes,true,true,,53,60.0
Almas SABAYA UAE fascinating fragrance pocket Floral Attar(Motia/Jasmin),350.0,350.0,160.0,http://www.flipkart.com/almas-sabaya-uae-fascinating-fragrance-pocket-floral-attar/p/itmf57gf3bgpa7k6?pid=ATTF57GF6E3Q6VFH,Almas,true,true,,72,55.0
Arochem Ethena (Pack of 2) Herbal Attar(Floral),395.0,395.0,304.0,http://www.flipkart.com/arochem-ethena-pack-2-herbal-attar/p/itmemd6uzjcjmhzv?pid=ATTEMD6UGUPBYVHG,Arochem,true,true,,67,50.0
Al Nuaim Fasli Gulab Floral Attar(Musk),199.0,199.0,134.0,http://www.flipkart.com/al-nuaim-fasli-gulab-floral-attar/p/itmf76p3vj6fzwmr?pid=ATTF76P3ZRDYBJJM,Al Nuaim,true,true,,50,30.0
